search_term,uniprot_accession,gene_name,description,ec_number,synonyms,location,keywords,go_terms,family,zinc_link,cansar_link,nearest_drug_target,matching_drug_target_50,matching_drug_target_35,number_of_3d_structure,number_of_3d_structure_with_small_molecule_ligand,number_of_3d_structure_with_druggability,number_of_3d_structure_druggable,percentage_of_3d_structure_druggable,number_of_3d_structure_tractable,percentage_of_3d_structure_tractable,ligand_druggability_score,ligand_druggability_percentile_rank,matching_protein_variants,screened_compounds,screened_compounds_active,screened_compounds_active_ro5,screened_fragments,screened_fragments_active,screened_fragments_active_ro5,most_prevalent_mutation,most_prevalent_cnv,highest_expressing_celllines
,Q9HC62,SENP2,"Sentrin-specific protease 2",3.4.22.-,"SENP2_HUMAN, SENP2, KIAA1331","Nucleus, Nuclear pore complex, Nucleus membrane, Cytoplasm","Q9HC62 SENP2_HUMAN Sentrin-specific protease 2 Q9HC62,B4DQ42,Q8IW97,Q96SR2,Q9P2L5 Axam2, SMT3-specific isopeptidase 2, Sentrin/SUMO-specific protease SENP2 KIAA1331","cytosol, nuclear membrane, nuclear pore, nucleoplasm, nucleus, pml body",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SENP2_HUMAN,https://cansarblack.icr.ac.uk/target/Q9HC62/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q96L91,EP400,"E1A-binding protein p400",3.6.4.-,"EP400_HUMAN, EP400, CAGH32, KIAA1498, KIAA1818, TNRC12",Nucleus,"Q96L91 EP400_HUMAN E1A-binding protein p400 Q96L91,O15411,Q6P2F5,Q8N8Q7,Q8NE05,Q96JK7,Q9P230 CAG repeat protein 32, Domino homolog, Trinucleotide repeat-containing gene 12 protein, p400 kDa SWI2/SNF2-related protein CAGH32, KIAA1498, KIAA1818, TNRC12","nua4 histone acetyltransferase complex, nuclear speck, nucleoplasm, swr1 complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=EP400_HUMAN,https://cansarblack.icr.ac.uk/target/Q96L91/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q14738,PPP2R5D,"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform",,"2A5D_HUMAN, PPP2R5D","Cytoplasm, Nucleus","Q14738 2A5D_HUMAN Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform Q14738,A8K3I9,B5BUA6,O00494,O00696,Q15171,Q5TC39 PP2A B subunit isoform B'-delta, PP2A B subunit isoform B56-delta, PP2A B subunit isoform PR61-delta, PP2A B subunit isoform R5-delta ","cytosol, nucleoplasm, nucleus, protein phosphatase type 2a complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=2A5D_HUMAN,https://cansarblack.icr.ac.uk/target/Q14738/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q14839,CHD4,"Chromodomain-helicase-DNA-binding protein 4",3.6.4.12,"CHD4_HUMAN, CHD4","Nucleus, Cytoplasm, Cytoskeleton, Microtubule organizing center, Centrosome","Q14839 CHD4_HUMAN Chromodomain-helicase-DNA-binding protein 4 Q14839,Q8IXZ5 ATP-dependent helicase CHD4, Mi-2 autoantigen 218 kDa protein, Mi2-beta ","centrosome, chromatin, cytoplasm, membrane, nucleoplasm, nurd complex, protein-containing complex, rna polymerase ii transcription regulator complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CHD4_HUMAN,https://cansarblack.icr.ac.uk/target/Q14839/synopsis,,,,,,,,0,,0,-1.05,68,,,,,,,,,,
,Q9NRF9,POLE3,"DNA polymerase epsilon subunit 3",,"DPOE3_HUMAN, POLE3, CHRAC17",Nucleus,"Q9NRF9 DPOE3_HUMAN DNA polymerase epsilon subunit 3 Q9NRF9,Q5W0U1,Q8N758,Q8NCE5,Q9NR32 Arsenic-transactivated protein, Chromatin accessibility complex 17 kDa protein, DNA polymerase II subunit 3, DNA polymerase epsilon subunit p17 CHRAC17","ada2/gcn5/ada3 transcription activator complex, chrac, epsilon dna polymerase complex, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=DPOE3_HUMAN,https://cansarblack.icr.ac.uk/target/Q9NRF9/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,P99999,CYCS,"Cytochrome c",,"CYC_HUMAN, CYCS, CYC","Mitochondrion intermembrane space","P99999 CYC_HUMAN Cytochrome c P99999,A4D166,B2R4I1,P00001,Q6NUR2,Q6NX69,Q96BV4  CYC","cytosol, mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrion, nucleus, respirasome",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CYC_HUMAN,https://cansarblack.icr.ac.uk/target/P99999/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,O14618,CCS,"Copper chaperone for superoxide dismutase",,"CCS_HUMAN, CCS",Cytoplasm,"O14618 CCS_HUMAN Copper chaperone for superoxide dismutase O14618,Q2M366,Q8NEV0 Superoxide dismutase copper chaperone ","cytoplasm, cytosol, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CCS_HUMAN,https://cansarblack.icr.ac.uk/target/O14618/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,P61088,UBE2N,"Ubiquitin-conjugating enzyme E2 N",2.3.2.23,"UBE2N_HUMAN, UBE2N, BLU","Nucleus, Cytoplasm","P61088 UBE2N_HUMAN Ubiquitin-conjugating enzyme E2 N P61088,Q16781,Q53Y81 Bendless-like ubiquitin-conjugating enzyme, E2 ubiquitin-conjugating enzyme N, Ubc13, UbcH13, Ubiquitin carrier protein N, Ubiquitin-protein ligase N BLU","cytoplasm, cytosol, extracellular exosome, fibrillar center, nucleoplasm, nucleus, protein-containing complex, ubc13-mms2 complex, ubc13-uev1a complex, ubiquitin ligase complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=UBE2N_HUMAN,https://cansarblack.icr.ac.uk/target/P61088/synopsis,,,,,,,,0,,0,-0.05,79,,,,,,,,,,
,Q12904,AIMP1,"Aminoacyl tRNA synthase complex-interacting multifunctional protein 1",,"AIMP1_HUMAN, AIMP1, EMAP2, SCYE1","Nucleus, Cytoplasm, Cytosol, Secreted, Endoplasmic reticulum, Golgi apparatus","Q12904 AIMP1_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 Q12904,B3KTR2,B4E1S7,Q6FG28,Q96CQ9 Multisynthase complex auxiliary component p43 EMAP2, SCYE1","aminoacyl-trna synthetase multienzyme complex, cell surface, cytosol, endoplasmic reticulum, extracellular space, golgi apparatus, membrane, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=AIMP1_HUMAN,https://cansarblack.icr.ac.uk/target/Q12904/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,O14802,POLR3A,"DNA-directed RNA polymerase III subunit RPC1",2.7.7.6,"RPC1_HUMAN, POLR3A",Nucleus,"O14802 RPC1_HUMAN DNA-directed RNA polymerase III subunit RPC1 O14802,Q8IW34,Q8TCW5 DNA-directed RNA polymerase III largest subunit, DNA-directed RNA polymerase III subunit A, RNA polymerase III 155 kDa subunit, RNA polymerase III subunit C160 ","cytosol, membrane, nucleoplasm, rna polymerase iii complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RPC1_HUMAN,https://cansarblack.icr.ac.uk/target/O14802/synopsis,,,,,,,,0,,0,-1.65,62,,,,,,,,,,
,O14746,TERT,"Telomerase reverse transcriptase",2.7.7.49,"TERT_HUMAN, TERT, EST2, TCS1, TRT","Nucleus, Nucleolus, Nucleus, Nucleoplasm, Nucleus, Chromosome, Telomere, Cytoplasm, Nucleus, PML body","O14746 TERT_HUMAN Telomerase reverse transcriptase O14746,O14783,Q2XS35,Q8N6C3,Q8NG38,Q8NG46 HEST2, Telomerase catalytic subunit, Telomerase-associated protein 2 EST2, TCS1, TRT","chromosome, cytosol, mitochondrial nucleoid, nuclear speck, nuclear telomere cap complex, nucleolus, nucleoplasm, nucleus, plasma membrane, pml body, rna-directed rna polymerase complex, telomerase catalytic core complex, telomerase holoenzyme complex, tert-rmrp complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=TERT_HUMAN,https://cansarblack.icr.ac.uk/target/O14746/synopsis,,,,,,,,0,,0,0.4,84,,,,,,,,,,
,P53621,COPA,"Coatomer subunit alpha",,"COPA_HUMAN, COPA","Cytoplasm, Golgi apparatus membrane, Cytoplasmic vesicle, COPI-coated vesicle membrane, Secreted","P53621 COPA_HUMAN Coatomer subunit alpha P53621,Q5T201,Q8IXZ9 Alpha-coat protein, HEP-COP ","copi vesicle coat, cytoplasm, cytosol, endoplasmic reticulum membrane, extracellular exosome, extracellular space, golgi membrane, growth cone, membrane, transport vesicle",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=COPA_HUMAN,https://cansarblack.icr.ac.uk/target/P53621/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,P10599,TXN,Thioredoxin,,"THIO_HUMAN, TXN, TRDX, TRX, TRX1","Nucleus, Cytoplasm, Secreted","P10599 THIO_HUMAN Thioredoxin P10599,B1ALW1,O60744,Q53X69,Q96KI3,Q9UDG5 ATL-derived factor, Surface-associated sulphydryl protein TRDX, TRX, TRX1","cytoplasm, cytosol, extracellular exosome, extracellular region, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=THIO_HUMAN,https://cansarblack.icr.ac.uk/target/P10599/synopsis,,,,,,,,0,,0,-0.7,72,,,,,,,,,,
,Q13363,CTBP1,"C-terminal-binding protein 1",1.1.1.-,"CTBP1_HUMAN, CTBP1, CTBP","Cytoplasm, Nucleus","Q13363 CTBP1_HUMAN C-terminal-binding protein 1 Q13363,Q4W5N3,Q7Z2Q5  CTBP","cytoplasm, nucleoplasm, nucleus, transcription repressor complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CTBP1_HUMAN,https://cansarblack.icr.ac.uk/target/Q13363/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q13404,UBE2V1,"Ubiquitin-conjugating enzyme E2 variant 1",,"UB2V1_HUMAN, UBE2V1, CROC1, UBE2V, UEV1",Nucleus,"Q13404 UB2V1_HUMAN Ubiquitin-conjugating enzyme E2 variant 1 Q13404,E1P629,Q13403,Q13532,Q5TGE0,Q5TGE3,Q96H34,Q9GZT0,Q9GZW1,Q9H4J3,Q9H4J4,Q9UKL1,Q9UM48,Q9UM49,Q9UM50 CROC-1, TRAF6-regulated IKK activator 1 beta Uev1A CROC1, UBE2V, UEV1","cytoplasm, cytosol, extracellular exosome, nucleoplasm, nucleus, protein-containing complex, ubc13-uev1a complex, ubiquitin conjugating enzyme complex, ubiquitin ligase complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=UB2V1_HUMAN,https://cansarblack.icr.ac.uk/target/Q13404/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q14457,BECN1,Beclin-1,,"BECN1_HUMAN, BECN1, GT197","Cytoplasm, Golgi apparatus, Trans-Golgi network membrane, Endosome membrane, Endoplasmic reticulum membrane, Mitochondrion membrane, Endosome, Cytoplasmic vesicle, Autophagosome, Mitochondrion, Nucleus, Cytoplasm, Mitochondrion","Q14457 BECN1_HUMAN Beclin-1 Q14457,B2R6N7,O75595,Q9UNA8 Coiled-coil myosin-like BCL2-interacting protein, Protein GT197 GT197","autophagosome, cytosol, dendrite, endoplasmic reticulum, endoplasmic reticulum membrane, endosome, endosome membrane, extrinsic component of membrane, mitochondrial membrane, nucleus, phagocytic vesicle, phagophore assembly site, phosphatidylinositol 3-kinase complex, phosphatidylinositol 3-kinase complex, phosphatidylinositol 3-kinase complex, trans-golgi network",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=BECN1_HUMAN,https://cansarblack.icr.ac.uk/target/Q14457/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q96IW7,SEC22A,"Vesicle-trafficking protein SEC22a",,"SC22A_HUMAN, SEC22A, SEC22L2","Endoplasmic reticulum membrane","Q96IW7 SC22A_HUMAN Vesicle-trafficking protein SEC22a Q96IW7,B2RE26,Q9Y682 SEC22 vesicle-trafficking protein homolog A, SEC22 vesicle-trafficking protein-like 2 SEC22L2","endoplasmic reticulum membrane, integral component of membrane",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SC22A_HUMAN,https://cansarblack.icr.ac.uk/target/Q96IW7/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q5VTR2,RNF20,"E3 ubiquitin-protein ligase BRE1A",2.3.2.27,"BRE1A_HUMAN, RNF20, BRE1A",Nucleus,"Q5VTR2 BRE1A_HUMAN E3 ubiquitin-protein ligase BRE1A Q5VTR2,A7MCT5,Q2TB34,Q69YL5,Q6P527,Q8N3J4,Q96JD3,Q9H9Y7,Q9HA51,Q9NUR4,Q9NWQ3,Q9NX83 RING finger protein 20, RING-type E3 ubiquitin transferase BRE1A BRE1A","hulc complex, nucleolus, nucleoplasm, nucleus, ubiquitin ligase complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=BRE1A_HUMAN,https://cansarblack.icr.ac.uk/target/Q5VTR2/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,P30048,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",1.11.1.24,"PRDX3_HUMAN, PRDX3, AOP1","Mitochondrion, Cytoplasm, Early endosome","P30048 PRDX3_HUMAN Thioredoxin-dependent peroxide reductase, mitochondrial P30048,B2R7Z0,D3DRC9,E9PH29,P35690,Q0D2H1,Q13776,Q5T5V2,Q96HK4 Antioxidant protein 1, HBC189, Peroxiredoxin III, Peroxiredoxin-3, Protein MER5 homolog, Thioredoxin-dependent peroxiredoxin 3 AOP1","cytoplasm, cytosol, early endosome, mitochondrial matrix, mitochondrion, protein-containing complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PRDX3_HUMAN,https://cansarblack.icr.ac.uk/target/P30048/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q14674,ESPL1,Separin,3.4.22.49,"ESPL1_HUMAN, ESPL1, ESP1, KIAA0165","Cytoplasm, Nucleus","Q14674 ESPL1_HUMAN Separin Q14674 Caspase-like protein ESPL1, Extra spindle poles-like 1 protein, Separase ESP1, KIAA0165","centrosome, cytoplasm, cytosol, mitotic spindle, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ESPL1_HUMAN,https://cansarblack.icr.ac.uk/target/Q14674/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,P0DP23,CALM1,Calmodulin-1,,"CALM1_HUMAN, CALM1, CALM, CAM, CAM1","Cytoplasm, Cytoskeleton, Spindle, Cytoplasm, Cytoskeleton, Spindle pole, Cytoplasm, Cytoskeleton, Microtubule organizing center, Centrosome","P0DP23 CALM1_HUMAN Calmodulin-1 P0DP23,P02593,P62158,P70667,P99014,Q13942,Q53S29,Q61379,Q61380,Q96HK3  CALM, CAM, CAM1","calcium channel complex, catalytic complex, centrosome, cytoplasm, cytosol, extracellular region, growth cone, mitochondrial membrane, myelin sheath, nucleoplasm, nucleus, plasma membrane, protein-containing complex, sarcomere, spindle microtubule, spindle pole, synaptic vesicle membrane, vesicle, voltage-gated potassium channel complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CALM1_HUMAN,https://cansarblack.icr.ac.uk/target/P0DP23/synopsis,"100.00|P0DP24|CALM2|BENZIODARONE,PRENYLAMINE|Whole:::Protein","100.00|P0DP24|CALM2|BENZIODARONE,PRENYLAMINE|Whole:::Protein||50.99|P63316|TNNC1|BEPRIDIL,BEPRIDIL HYDROCHLORIDE|Whole:::Protein","100.00|P0DP24|CALM2|BENZIODARONE,PRENYLAMINE|Whole:::Protein||50.99|P63316|TNNC1|BEPRIDIL,BEPRIDIL HYDROCHLORIDE|Whole:::Protein",,,,,0,,0,,,,,,,,,,,,
,P06730,EIF4E,"Eukaryotic translation initiation factor 4E",,"IF4E_HUMAN, EIF4E, EIF4EL1, EIF4F","Cytoplasm, P-body, Cytoplasm, Cytoplasm, Stress granule, Nucleus","P06730 IF4E_HUMAN Eukaryotic translation initiation factor 4E P06730,B7Z6V1,D6RCQ6,Q96E95 eIF-4F 25 kDa subunit, mRNA cap-binding protein EIF4EL1, EIF4F","chromatoid body, cytoplasm, cytoplasmic ribonucleoprotein granule, cytoplasmic stress granule, cytosol, eukaryotic translation initiation factor 4f complex, extracellular exosome, glutamatergic synapse, mrna cap binding complex, nucleus, p-body, perinuclear region of cytoplasm, postsynaptic cytosol, risc complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=IF4E_HUMAN,https://cansarblack.icr.ac.uk/target/P06730/synopsis,,,,,,,,0,,0,-0.9,70,,,,,,,,,,
,P31946,YWHAB,"14-3-3 protein beta/alpha",,"1433B_HUMAN, YWHAB","Cytoplasm, Melanosome, Vacuole membrane","P31946 1433B_HUMAN 14-3-3 protein beta/alpha P31946,A8K9K2,E1P616 Protein 1054, Protein kinase C inhibitor protein 1 ","cytoplasm, cytosol, extracellular exosome, focal adhesion, melanosome, membrane, mitochondrion, nucleus, perinuclear region of cytoplasm, transcription repressor complex, vacuolar membrane",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=1433B_HUMAN,https://cansarblack.icr.ac.uk/target/P31946/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,P54652,HSPA2,"Heat shock-related 70 kDa protein 2",,"HSP72_HUMAN, HSPA2","Cytoplasm, Cytoskeleton, Spindle","P54652 HSP72_HUMAN Heat shock-related 70 kDa protein 2 P54652,Q15508,Q53XM3,Q9UE78  ","blood microparticle, catsper complex, cell surface, cytoplasm, cytosol, extracellular exosome, male germ cell nucleus, meiotic spindle, membrane, nucleus, plasma membrane, synaptonemal complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=HSP72_HUMAN,https://cansarblack.icr.ac.uk/target/P54652/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q9P2R7,SUCLA2,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",6.2.1.5,"SUCB1_HUMAN, SUCLA2",Mitochondrion,"Q9P2R7 SUCB1_HUMAN Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial Q9P2R7,B2RDE7,O95194,Q5T9Q4,Q5T9Q6,Q9NV21,Q9NVP7 ATP-specific succinyl-CoA synthetase subunit beta, Succinyl-CoA synthetase beta-A chain ","extracellular exosome, mitochondrial matrix, mitochondrion, succinate-coa ligase complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SUCB1_HUMAN,https://cansarblack.icr.ac.uk/target/Q9P2R7/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,P33552,CKS2,"Cyclin-dependent kinases regulatory subunit 2",,"CKS2_HUMAN, CKS2",,"P33552 CKS2_HUMAN Cyclin-dependent kinases regulatory subunit 2 P33552,Q6FGI9,Q6LET5  ","cyclin-dependent protein kinase holoenzyme complex, scf ubiquitin ligase complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CKS2_HUMAN,https://cansarblack.icr.ac.uk/target/P33552/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,O75558,STX11,Syntaxin-11,,"STX11_HUMAN, STX11","Membrane, Golgi apparatus, Trans-Golgi network membrane","O75558 STX11_HUMAN Syntaxin-11 O75558,E1P598,O75378,O95148,Q5TCL6  ","endomembrane system, golgi apparatus, integral component of membrane, plasma membrane, presynaptic active zone membrane, snare complex, synaptic vesicle",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=STX11_HUMAN,https://cansarblack.icr.ac.uk/target/O75558/synopsis,,,,,,,,0,,0,-1.65,62,,,,,,,,,,
,O14646,CHD1,"Chromodomain-helicase-DNA-binding protein 1",3.6.4.12,"CHD1_HUMAN, CHD1","Nucleus, Cytoplasm","O14646 CHD1_HUMAN Chromodomain-helicase-DNA-binding protein 1 O14646,Q17RZ3 ATP-dependent helicase CHD1 ","cytoplasm, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CHD1_HUMAN,https://cansarblack.icr.ac.uk/target/O14646/synopsis,,,,,,,,0,,0,0.3,83,,,,,,,,,,
,Q9NXC5,MIOS,"GATOR complex protein MIOS",,"MIO_HUMAN, MIOS","Lysosome membrane","Q9NXC5 MIO_HUMAN GATOR complex protein MIOS Q9NXC5,B2RTV6,O75216,Q7L551,Q9H092 Missing oocyte meiosis regulator homolog ","cell junction, cytoplasm, cytosol, gator2 complex, lysosomal membrane, nucleoplasm",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MIO_HUMAN,https://cansarblack.icr.ac.uk/target/Q9NXC5/synopsis,,,,,,,,0,,0,0.8,88,,,,,,,,,,
,O14964,HGS,"Hepatocyte growth factor-regulated tyrosine kinase substrate",,"HGS_HUMAN, HGS, HRS","Cytoplasm, Early endosome membrane, Endosome, Multivesicular body membrane","O14964 HGS_HUMAN Hepatocyte growth factor-regulated tyrosine kinase substrate O14964,Q9NR36 Hrs, Protein pp110 HRS","cytosol, early endosome, early endosome membrane, endosome, escrt-0 complex, extracellular exosome, intracellular membrane-bounded organelle, lysosome, multivesicular body membrane, phagocytic vesicle lumen",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=HGS_HUMAN,https://cansarblack.icr.ac.uk/target/O14964/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q15131,CDK10,"Cyclin-dependent kinase 10",2.7.11.22,"CDK10_HUMAN, CDK10","Cytoplasm, Cytoskeleton, Cilium basal body","Q15131 CDK10_HUMAN Cyclin-dependent kinase 10 Q15131,A8K370,A8K8I6,A8MXU6,B3KQJ3,B7Z420,D3DX82,D3DX83,Q0VGZ7,Q15130,Q6PJC0 Cell division protein kinase 10, Serine/threonine-protein kinase PISSLRE ","ciliary basal body, cytoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CDK10_HUMAN,https://cansarblack.icr.ac.uk/target/Q15131/synopsis,"41.81|P11802|CDK4|ABEMACICLIB,PALBOCICLIB,RIBOCICLIB,RIBOCICLIB SUCCINATE|Whole:::Protein",,"41.81|P11802|CDK4|ABEMACICLIB,PALBOCICLIB,RIBOCICLIB,RIBOCICLIB SUCCINATE|Whole:::Protein||38.28|Q00534|CDK6|ABEMACICLIB,PALBOCICLIB,RIBOCICLIB,RIBOCICLIB SUCCINATE|Whole:::Protein",,,,,0,,0,-3,59,,,,,,,,,,
,P30307,CDC25C,"M-phase inducer phosphatase 3",3.1.3.48,"MPIP3_HUMAN, CDC25C",Nucleus,"P30307 MPIP3_HUMAN M-phase inducer phosphatase 3 P30307,D3DQB8,Q96PL3,Q9H168,Q9H2E8,Q9H2E9,Q9H2F1 Dual specificity phosphatase Cdc25C ","cytoplasm, cytosol, mitochondrial intermembrane space, nuclear speck, nucleoplasm, nucleus, perinuclear region of cytoplasm",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=MPIP3_HUMAN,https://cansarblack.icr.ac.uk/target/P30307/synopsis,,,,,,,,0,,0,-0.75,71,,,,,,,,,,
,Q9UQ84,EXO1,"Exonuclease 1",3.1.-.-,"EXO1_HUMAN, EXO1, EXOI, HEX1",Nucleus,"Q9UQ84 EXO1_HUMAN Exonuclease 1 Q9UQ84,O60545,O75214,O75466,Q5T396,Q96IJ1,Q9UG38,Q9UNW0 Exonuclease I EXOI, HEX1","nuclear body, nucleoplasm, nucleus, plasma membrane",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=EXO1_HUMAN,https://cansarblack.icr.ac.uk/target/Q9UQ84/synopsis,,,,,,,,0,,0,-0.8,71,,,,,,,,,,
,O00233,PSMD9,"26S proteasome non-ATPase regulatory subunit 9",,"PSMD9_HUMAN, PSMD9",,"O00233 PSMD9_HUMAN 26S proteasome non-ATPase regulatory subunit 9 O00233,B2RD35,G3V1Q6,Q9BQ42 26S proteasome regulatory subunit p27 ","cytoplasm, cytosol, nucleoplasm, nucleus, proteasome regulatory particle",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PSMD9_HUMAN,https://cansarblack.icr.ac.uk/target/O00233/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q8WVC0,LEO1,"RNA polymerase-associated protein LEO1",,"LEO1_HUMAN, LEO1, RDL",Nucleus,"Q8WVC0 LEO1_HUMAN RNA polymerase-associated protein LEO1 Q8WVC0,Q96N99 Replicative senescence down-regulated leo1-like protein RDL","cdc73/paf1 complex, centrosome, fibrillar center, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=LEO1_HUMAN,https://cansarblack.icr.ac.uk/target/Q8WVC0/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,O15260,SURF4,"Surfeit locus protein 4",,"SURF4_HUMAN, SURF4, SURF-4","Endoplasmic reticulum membrane, Endoplasmic reticulum-Golgi intermediate compartment membrane, Golgi apparatus membrane","O15260 SURF4_HUMAN Surfeit locus protein 4 O15260,B7Z6A4,O60923,Q5T8U6,Q9UNZ0,Q9UNZ1  SURF-4","azurophil granule membrane, cytosol, endoplasmic reticulum membrane, endoplasmic reticulum-golgi intermediate compartment, endoplasmic reticulum-golgi intermediate compartment membrane, golgi membrane, integral component of membrane, plasma membrane, transport vesicle",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SURF4_HUMAN,https://cansarblack.icr.ac.uk/target/O15260/synopsis,,,,,,,,0,,0,-1.15,67,,,,,,,,,,
,P27694,RPA1,"Replication protein A 70 kDa DNA-binding subunit",,"RFA1_HUMAN, RPA1, REPA1, RPA70","Nucleus, Nucleus, PML body","P27694 RFA1_HUMAN Replication protein A 70 kDa DNA-binding subunit P27694,A8K0Y9,Q59ES9 Replication factor A protein 1, Single-stranded DNA-binding protein REPA1, RPA70","chromosome, dna replication factor a complex, nucleoplasm, nucleus, pml body, site of dna damage",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RFA1_HUMAN,https://cansarblack.icr.ac.uk/target/P27694/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q8WW22,DNAJA4,"DnaJ homolog subfamily A member 4",,"DNJA4_HUMAN, DNAJA4",Membrane,"Q8WW22 DNJA4_HUMAN DnaJ homolog subfamily A member 4 Q8WW22,E9PDM9,Q6AW87,Q8N5Z4,Q8N7P2  ","cytosol, membrane",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=DNJA4_HUMAN,https://cansarblack.icr.ac.uk/target/Q8WW22/synopsis,,,,,,,,0,,0,-0.85,70,,,,,,,,,,
,Q5VSL9,STRIP1,"Striatin-interacting protein 1",,"STRP1_HUMAN, STRIP1, FAM40A, KIAA1761",Cytoplasm,"Q5VSL9 STRP1_HUMAN Striatin-interacting protein 1 Q5VSL9,Q0V925,Q5VSL8,Q658K2,Q6ZV31,Q8N598,Q96SN2,Q9C0A2 Protein FAM40A FAM40A, KIAA1761","cytosol, extracellular exosome, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=STRP1_HUMAN,https://cansarblack.icr.ac.uk/target/Q5VSL9/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
