search_term,uniprot_accession,gene_name,description,ec_number,synonyms,location,keywords,go_terms,family,zinc_link,cansar_link,nearest_drug_target,matching_drug_target_50,matching_drug_target_35,number_of_3d_structure,number_of_3d_structure_with_small_molecule_ligand,number_of_3d_structure_with_druggability,number_of_3d_structure_druggable,percentage_of_3d_structure_druggable,number_of_3d_structure_tractable,percentage_of_3d_structure_tractable,ligand_druggability_score,ligand_druggability_percentile_rank,matching_protein_variants,screened_compounds,screened_compounds_active,screened_compounds_active_ro5,screened_fragments,screened_fragments_active,screened_fragments_active_ro5,most_prevalent_mutation,most_prevalent_cnv,highest_expressing_celllines
,Q99661,KIF2C,"Kinesin-like protein KIF2C",,"KIF2C_HUMAN, KIF2C, KNSL6","Cytoplasm, Cytoskeleton, Nucleus, Chromosome, Centromere, Chromosome, Centromere, Kinetochore","Q99661 KIF2C_HUMAN Kinesin-like protein KIF2C Q99661,B3ITR9,Q5JR88,Q6ICU1,Q96C18,Q96HB8,Q9BWV8 Kinesin-like protein 6, Mitotic centromere-associated kinesin KNSL6","centrosome, chromosome, condensed chromosome kinetochore, cytosol, kinesin complex, kinetochore, membrane, microtubule, microtubule cytoskeleton, microtubule plus-end, nucleus, spindle",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KIF2C_HUMAN,https://cansarblack.icr.ac.uk/target/Q99661/synopsis,,,,,,,,0,,0,0.85,89,,,,,,,,,,
,P28066,PSMA5,"Proteasome subunit alpha type-5",,"PSA5_HUMAN, PSMA5","Cytoplasm, Nucleus","P28066 PSA5_HUMAN Proteasome subunit alpha type-5 P28066,B2R8F6,B4E2V4,Q3T1C1,Q6IBF7 Macropain zeta chain, Multicatalytic endopeptidase complex zeta chain, Proteasome zeta chain ","cytoplasm, cytosol, extracellular exosome, extracellular region, ficolin-1-rich granule lumen, nucleoplasm, nucleus, proteasome complex, proteasome core complex, proteasome core complex, secretory granule lumen",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PSA5_HUMAN,https://cansarblack.icr.ac.uk/target/P28066/synopsis,"100.00|P28066|PSMA5|CARFILZOMIB,IXAZOMIB,IXAZOMIB CITRATE|Whole:::Protein","100.00|P28066|PSMA5|CARFILZOMIB,IXAZOMIB,IXAZOMIB CITRATE|Whole:::Protein","100.00|P28066|PSMA5|CARFILZOMIB,IXAZOMIB,IXAZOMIB CITRATE|Whole:::Protein||37.24|Q8TAA3|PSMA8|CARFILZOMIB,IXAZOMIB,IXAZOMIB CITRATE|Whole:::Protein||37.13|O14818|PSMA7|CARFILZOMIB,IXAZOMIB,IXAZOMIB CITRATE|Whole:::Protein||35.35|P25788|PSMA3|CARFILZOMIB,IXAZOMIB,IXAZOMIB CITRATE|Whole:::Protein||35.12|P25789|PSMA4|CARFILZOMIB,IXAZOMIB,IXAZOMIB CITRATE|Whole:::Protein",,,,,0,,0,-3,59,,,,,,,,,,
,Q9P1Q0,VPS54,"Vacuolar protein sorting-associated protein 54",,"VPS54_HUMAN, VPS54, HCC8","Golgi apparatus, Trans-Golgi network, Membrane","Q9P1Q0 VPS54_HUMAN Vacuolar protein sorting-associated protein 54 Q9P1Q0,Q5VIR5,Q86YF7,Q8N6G3,Q9NPV0,Q9NT07,Q9NUJ0 Hepatocellular carcinoma protein 8, Tumor antigen HOM-HCC-8, Tumor antigen SLP-8p HCC8","cytosol, garp complex, golgi apparatus, membrane, nucleoplasm, perinuclear region of cytoplasm, trans-golgi network, trans-golgi network membrane",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=VPS54_HUMAN,https://cansarblack.icr.ac.uk/target/Q9P1Q0/synopsis,,,,,,,,0,,0,1,90,,,,,,,,,,
,P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",5.6.1.7,"CH60_HUMAN, HSPD1, HSP60","Mitochondrion matrix","P10809 CH60_HUMAN 60 kDa heat shock protein, mitochondrial P10809,B2R5M6,B7Z712,Q38L19,Q9UCR6 60 kDa chaperonin, Chaperonin 60, Heat shock protein 60, HuCHA60, Mitochondrial matrix protein P1, P60 lymphocyte protein HSP60","cell surface, clathrin-coated pit, coated vesicle, cytoplasm, cytosol, early endosome, extracellular exosome, extracellular space, lipopolysaccharide receptor complex, membrane, mitochondrial inner membrane, mitochondrial matrix, mitochondrion, plasma membrane, protein-containing complex, secretory granule",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CH60_HUMAN,https://cansarblack.icr.ac.uk/target/P10809/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q9Y6M9,NDUFB9,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9",,"NDUB9_HUMAN, NDUFB9, LYRM3, UQOR22","Mitochondrion inner membrane","Q9Y6M9 NDUB9_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 Q9Y6M9,B2R8M6,Q9UQE8 Complex I-B22, LYR motif-containing protein 3, NADH-ubiquinone oxidoreductase B22 subunit LYRM3, UQOR22","mitochondrial inner membrane, mitochondrial respiratory chain complex i, mitochondrion",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NDUB9_HUMAN,https://cansarblack.icr.ac.uk/target/Q9Y6M9/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q7Z3V4,UBE3B,"Ubiquitin-protein ligase E3B",2.3.2.26,"UBE3B_HUMAN, UBE3B",,"Q7Z3V4 UBE3B_HUMAN Ubiquitin-protein ligase E3B Q7Z3V4,A5D8Z3,Q05BX9,Q659F7,Q7Z7Q1,Q9BXZ4 HECT-type ubiquitin transferase E3B ",,,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=UBE3B_HUMAN,https://cansarblack.icr.ac.uk/target/Q7Z3V4/synopsis,,,,,,,,0,,0,-0.6,73,,,,,,,,,,
,Q9H1A4,ANAPC1,"Anaphase-promoting complex subunit 1",,"APC1_HUMAN, ANAPC1, TSG24",,"Q9H1A4 APC1_HUMAN Anaphase-promoting complex subunit 1 Q9H1A4,Q2M3H8,Q9BSE6,Q9H8D0 Cyclosome subunit 1, Mitotic checkpoint regulator, Testis-specific gene 24 protein TSG24","anaphase-promoting complex, cytosol, nucleoplasm",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=APC1_HUMAN,https://cansarblack.icr.ac.uk/target/Q9H1A4/synopsis,,,,,,,,0,,0,-0.25,77,,,,,,,,,,
,Q92621,NUP205,"Nuclear pore complex protein Nup205",,"NU205_HUMAN, NUP205, C7orf14, KIAA0225","Nucleus membrane, Nucleus, Nuclear pore complex","Q92621 NU205_HUMAN Nuclear pore complex protein Nup205 Q92621,A6H8X3,Q86YC1 205 kDa nucleoporin, Nucleoporin Nup205 C7orf14, KIAA0225","cytosol, host cell, membrane, nuclear envelope, nuclear membrane, nuclear periphery, nuclear pore, nuclear pore inner ring",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=NU205_HUMAN,https://cansarblack.icr.ac.uk/target/Q92621/synopsis,,,,,,,,0,,0,0.35,83,,,,,,,,,,
,P68104,EEF1A1,"Elongation factor 1-alpha 1",,"EF1A1_HUMAN, EEF1A1, EEF1A, EF1A, LENG7","Cytoplasm, Nucleus, Nucleus, Nucleolus, Cell membrane","P68104 EF1A1_HUMAN Elongation factor 1-alpha 1 P68104,P04719,P04720,Q6IQ15 Elongation factor Tu, Eukaryotic elongation factor 1 A-1, Leukocyte receptor cluster member 7 EEF1A, EF1A, LENG7","cortical actin cytoskeleton, cytoplasm, cytoplasmic side of lysosomal membrane, cytosol, eukaryotic translation elongation factor 1 complex, extracellular exosome, extracellular region, extracellular space, ficolin-1-rich granule lumen, membrane, nucleolus, nucleus, plasma membrane, ruffle membrane, secretory granule lumen",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=EF1A1_HUMAN,https://cansarblack.icr.ac.uk/target/P68104/synopsis,,,,,,,,0,,0,-1.45,64,,,,,,,,,,
,O60566,BUB1B,"Mitotic checkpoint serine/threonine-protein kinase BUB1 beta",2.7.11.1,"BUB1B_HUMAN, BUB1B, BUBR1, MAD3L, SSK1","Cytoplasm, Nucleus, Chromosome, Centromere, Kinetochore, Cytoplasm, Cytoskeleton, Microtubule organizing center, Centrosome","O60566 BUB1B_HUMAN Mitotic checkpoint serine/threonine-protein kinase BUB1 beta O60566,B2R6U0,B4DL09,B4DLG3,O60501,O60627,O60758,O75389,Q59HH6,Q8WV50,Q96KM4 MAD3/BUB1-related protein kinase, Mitotic checkpoint kinase MAD3L, Protein SSK1 BUBR1, MAD3L, SSK1","anaphase-promoting complex, condensed chromosome kinetochore, condensed chromosome outer kinetochore, condensed nuclear chromosome kinetochore, cytoplasm, cytosol, kinetochore, microtubule organizing center, perinuclear region of cytoplasm, spindle",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=BUB1B_HUMAN,https://cansarblack.icr.ac.uk/target/O60566/synopsis,,,,,,,,0,,0,0.65,86,,,,,,,,,,
,P10721,KIT,"Mast/stem cell growth factor receptor Kit",2.7.10.1,"KIT_HUMAN, KIT, SCFR","Cell membrane, Cell membrane, Cytoplasm","P10721 KIT_HUMAN Mast/stem cell growth factor receptor Kit P10721,B5A956,D5LXN2,D5M931,F5H8F8,Q6IQ28,Q99662,Q9UM99 Piebald trait protein, Proto-oncogene c-Kit, Tyrosine-protein kinase Kit, p145 c-kit, v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog SCFR","acrosomal vesicle, cell-cell junction, cytoplasmic side of plasma membrane, external side of plasma membrane, extracellular space, fibrillar center, integral component of plasma membrane, plasma membrane, receptor complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=KIT_HUMAN,https://cansarblack.icr.ac.uk/target/P10721/synopsis,"100.00|P10721|KIT|AVAPRITINIB,AXITINIB,DASATINIB,IMATINIB,IMATINIB MESYLATE,MIDOSTAURIN,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEXIDARTINIB,PEXIDARTINIB HYDROCHLORIDE,REGORAFENIB,RIPRETINIB,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE|Whole:::Protein","100.00|P10721|KIT|AVAPRITINIB,AXITINIB,DASATINIB,IMATINIB,IMATINIB MESYLATE,MIDOSTAURIN,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEXIDARTINIB,PEXIDARTINIB HYDROCHLORIDE,REGORAFENIB,RIPRETINIB,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||50.00|P07949|RET|ALECTINIB,ALECTINIB HYDROCHLORIDE,REGORAFENIB,Selpercatinib,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,VANDETANIB|Whole:::Protein","100.00|P10721|KIT|AVAPRITINIB,AXITINIB,DASATINIB,IMATINIB,IMATINIB MESYLATE,MIDOSTAURIN,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEXIDARTINIB,PEXIDARTINIB HYDROCHLORIDE,REGORAFENIB,RIPRETINIB,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||50.00|P07949|RET|ALECTINIB,ALECTINIB HYDROCHLORIDE,REGORAFENIB,Selpercatinib,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,VANDETANIB|Whole:::Protein||46.31|Q13882|PTK6|VANDETANIB|Whole:::Protein||46.10|P08631|HCK|BOSUTINIB,DASATINIB,VANDETANIB|Whole:::Protein||45.96|P08581|MET|CABOZANTINIB,CABOZANTINIB S-MALATE,CAPMATINIB,CAPMATINIB HYDROCHLORIDE,CRIZOTINIB|Whole:::Protein||45.71|P07949|RET|ALECTINIB,ALECTINIB HYDROCHLORIDE,REGORAFENIB,Selpercatinib,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,VANDETANIB|Whole:::Protein||45.16|P07948|LYN|DASATINIB,VANDETANIB|Whole:::Protein||45.10|Q9UM73|ALK|ALECTINIB,ALECTINIB HYDROCHLORIDE,BRIGATINIB,CERITINIB,CRIZOTINIB,ENTRECTINIB,LORLATINIB|Whole:::Protein||44.59|P43405|SYK|FOSTAMATINIB,FOSTAMATINIB DISODIUM|Whole:::Protein||44.37|P06239|LCK|DASATINIB,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,VANDETANIB|Whole:::Protein||44.37|P06241|FYN|DASATINIB,VANDETANIB|Whole:::Protein||43.71|P07947|YES1|DASATINIB,VANDETANIB|Whole:::Protein||43.71|P09769|FGR|DASATINIB,VANDETANIB|Whole:::Protein||43.33|P08922|ROS1|BRIGATINIB,ENTRECTINIB,LORLATINIB|Whole:::Protein||43.20|P42685|FRK|DASATINIB,REGORAFENIB,VANDETANIB|Whole:::Protein||42.67|Q9H3Y6|SRMS|DASATINIB,VANDETANIB|Whole:::Protein||42.58|P51451|BLK|DASATINIB,VANDETANIB|Whole:::Protein||42.38|P12931|SRC|BOSUTINIB,DASATINIB,VANDETANIB|Whole:::Protein||42.11|P07333|CSF1R|PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEXIDARTINIB,PEXIDARTINIB HYDROCHLORIDE,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||42.04|P06213|INSR|INSULIN DETEMIR,INSULIN ASPART,INSULIN GLARGINE,INSULIN LISPRO,INSULIN PORK,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP ISOPHANE BEEF,INSULIN ZINC SUSP PURIFIED BEEF,INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN GLULISINE,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN PURIFIED BEEF,INSULIN PURIFIED PORK,INSULIN,INSULIN ZINC SUSP PURIFIED BEEF/PORK,INSULIN SUSP ISOPHANE BEEF/PORK,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,INSULIN ZINC SUSP BEEF,INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP PROMPT PURIFIED PORK,INSULIN ZINC SUSP RECOMBINANT HUMAN,INSULIN ZINC SUSP PURIFIED PORK,INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN SUSP ISOPHANE PURIFIED PORK,INSULIN ASPART PROTAMINE RECOMBINANT,INSULIN,INSULIN GLARGINE,INSULIN GLULISINE|Whole:::Protein||41.94|P29320|EPHA3|VANDETANIB|Whole:::Protein||41.92|Q02763|TEK|REGORAFENIB,VANDETANIB|Whole:::Protein||41.61|Q07912|TNK2|ENTRECTINIB|Whole:::Protein||41.42|Q15375|EPHA7|VANDETANIB|Whole:::Protein||40.40|P00533|EGFR|AFATINIB,AFATINIB DIMALEATE,CETUXIMAB,DACOMITINIB,DACOMITINIB,ERLOTINIB,ERLOTINIB HYDROCHLORIDE,GEFITINIB,LAPATINIB,LAPATINIB DITOSYLATE,NECITUMUMAB,NERATINIB,NERATINIB MALEATE,OSIMERTINIB,OSIMERTINIB MESYLATE,PANITUMUMAB,REGORAFENIB,VANDETANIB|Whole:::Protein||40.40|P04626|ERBB2|TRASTUZUMAB EMTANSINE,AFATINIB,AFATINIB DIMALEATE,DACOMITINIB,DACOMITINIB,LANREOTIDE,LANREOTIDE ACETATE,LAPATINIB,LAPATINIB DITOSYLATE,NERATINIB,NERATINIB MALEATE,PERTUZUMAB,TRASTUZUMAB,TRASTUZUMAB DERUXTECAN,TRASTUZUMAB,TUCATINIB,VANDETANIB|Whole:::Protein||40.14|Q15303|ERBB4|AFATINIB,AFATINIB DIMALEATE,DACOMITINIB,DACOMITINIB,NERATINIB,NERATINIB MALEATE,VANDETANIB|Whole:::Protein||40.00|P29317|EPHA2|DASATINIB,VANDETANIB|Whole:::Protein||39.94|P22455|FGFR4|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE|Whole:::Protein||39.89|P21802|FGFR2|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE,PALIFERMIN,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEMIGATINIB,REGORAFENIB,VANDETANIB|Whole:::Protein||39.62|P06213|INSR|INSULIN DETEMIR,INSULIN ASPART,INSULIN GLARGINE,INSULIN LISPRO,INSULIN PORK,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP ISOPHANE BEEF,INSULIN ZINC SUSP PURIFIED BEEF,INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN GLULISINE,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,INSULIN PURIFIED BEEF,INSULIN PURIFIED PORK,INSULIN,INSULIN ZINC SUSP PURIFIED BEEF/PORK,INSULIN SUSP ISOPHANE BEEF/PORK,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,INSULIN ZINC SUSP BEEF,INSULIN ZINC SUSP EXTENDED BEEF,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,INSULIN ZINC SUSP PROMPT BEEF,INSULIN ZINC SUSP PROMPT PURIFIED PORK,INSULIN ZINC SUSP RECOMBINANT HUMAN,INSULIN ZINC SUSP PURIFIED PORK,INSULIN SUSP ISOPHANE PURIFIED BEEF,INSULIN SUSP ISOPHANE PURIFIED PORK,INSULIN ASPART PROTAMINE RECOMBINANT,INSULIN,INSULIN GLARGINE,INSULIN GLULISINE|Whole:::Protein||39.10|Q08881|ITK|PAZOPANIB,PAZOPANIB HYDROCHLORIDE|Whole:::Protein||38.95|P35916|FLT4|AXITINIB,CABOZANTINIB,CABOZANTINIB S-MALATE,LENVATINIB,LENVATINIB MESYLATE,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,REGORAFENIB,Selpercatinib,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,AV9,VANDETANIB|Whole:::Protein||38.65|P52333|JAK3|BARICITINIB,TOFACITINIB,TOFACITINIB CITRATE,UPADACITINIB|Whole:::Protein||38.60|P21709|EPHA1|VANDETANIB|Whole:::Protein||38.42|P35968|KDR|AXITINIB,CABOZANTINIB,CABOZANTINIB S-MALATE,LENVATINIB,LENVATINIB MESYLATE,MIDOSTAURIN,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,RAMUCIRUMAB,REGORAFENIB,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,AV9,VANDETANIB|Whole:::Protein||38.41|P21860|ERBB3|VANDETANIB|Whole:::Protein||38.28|P22607|FGFR3|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEMIGATINIB,VANDETANIB|Whole:::Protein||38.15|Q16620|NTRK2|CENEGERMIN,ENTRECTINIB,LAROTRECTINIB,LAROTRECTINIB SULFATE|Whole:::Protein||37.84|P11362|FGFR1|ERDAFITINIB,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,PEMIGATINIB,VANDETANIB|Whole:::Protein||37.82|P54760|EPHB4|VANDETANIB|Whole:::Protein||37.57|P54756|EPHA5|VANDETANIB|Whole:::Protein||37.18|P36888|FLT3|BRIGATINIB,FEDRATINIB,FEDRATINIB HYDROCHLORIDE,GILTERITINIB FUMARATE,GILTERITINIB,MIDOSTAURIN,PEXIDARTINIB,PEXIDARTINIB HYDROCHLORIDE,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||36.97|Q16288|NTRK3|CENEGERMIN,ENTRECTINIB,LAROTRECTINIB,LAROTRECTINIB SULFATE|Whole:::Protein||36.91|Q06187|BTK|ACALABRUTINIB,IBRUTINIB,ZANUBRUTINIB|Whole:::Protein||36.63|P54764|EPHA4|VANDETANIB|Whole:::Protein||36.61|P54762|EPHB1|VANDETANIB|Whole:::Protein||36.22|P17948|FLT1|AXITINIB,CABOZANTINIB,CABOZANTINIB S-MALATE,LENVATINIB,LENVATINIB MESYLATE,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,REGORAFENIB,Selpercatinib,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE,AV9,VANDETANIB|Whole:::Protein||36.13|P08922|ROS1|BRIGATINIB,ENTRECTINIB,LORLATINIB|Whole:::Protein||36.07|P29323|EPHB2|VANDETANIB|Whole:::Protein||35.90|P16234|PDGFRA|AVAPRITINIB,AXITINIB,MIDOSTAURIN,NILOTINIB,NILOTINIB HYDROCHLORIDE MONOHYDRATE,NINTEDANIB,NINTEDANIB ESYLATE,OLARATUMAB,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,REGORAFENIB,RIPRETINIB,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||35.71|P29597|TYK2|TOFACITINIB,TOFACITINIB CITRATE,UPADACITINIB|Whole:::Protein||35.52|P54753|EPHB3|VANDETANIB|Whole:::Protein||35.31|P09619|PDGFRB|AXITINIB,BECAPLERMIN,DASATINIB,IMATINIB,IMATINIB MESYLATE,MIDOSTAURIN,NINTEDANIB,NINTEDANIB ESYLATE,PAZOPANIB,PAZOPANIB HYDROCHLORIDE,REGORAFENIB,SORAFENIB,SORAFENIB TOSYLATE,SUNITINIB,SUNITINIB MALATE|Whole:::Protein||35.12|P23458|JAK1|BARICITINIB,RUXOLITINIB,RUXOLITINIB PHOSPHATE,TOFACITINIB,TOFACITINIB CITRATE,UPADACITINIB|Whole:::Protein",,,,,0,,0,1.5,94,,,,,,,,,,
,Q9BXM7,PINK1,"Serine/threonine-protein kinase PINK1, mitochondrial",2.7.11.1,"PINK1_HUMAN, PINK1","Mitochondrion outer membrane, Mitochondrion inner membrane, Cytoplasm, Cytosol","Q9BXM7 PINK1_HUMAN Serine/threonine-protein kinase PINK1, mitochondrial Q9BXM7,Q8N6T9,Q8NBU3,Q96DE4 BRPK, PTEN-induced putative kinase protein 1 ","astrocyte projection, axon, cell body, chromatin, cytoplasm, cytoskeleton, cytosol, endoplasmic reticulum, growth cone, integral component of mitochondrial outer membrane, lewy body, membrane, mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial outer membrane, mitochondrion, nucleus, perinuclear region of cytoplasm",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=PINK1_HUMAN,https://cansarblack.icr.ac.uk/target/Q9BXM7/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
,Q01196,RUNX1,"Runt-related transcription factor 1",,"RUNX1_HUMAN, RUNX1, AML1, CBFA2",Nucleus,"Q01196 RUNX1_HUMAN Runt-related transcription factor 1 Q01196,A8MV94,B2RMS4,D3DSG1,O60472,O60473,O76047,O76089,Q13081,Q13755,Q13756,Q13757,Q13758,Q13759,Q15341,Q15343,Q16122,Q16284,Q16285,Q16286,Q16346,Q16347,Q92479 Acute myeloid leukemia 1 protein, Core-binding factor subunit alpha-2, Oncogene AML-1, Polyomavirus enhancer-binding protein 2 alpha B subunit, SL3-3 enhancer factor 1 alpha B subunit, SL3/AKV core-binding factor alpha B subunit AML1, CBFA2","chromatin, core-binding factor complex, intracellular membrane-bounded organelle, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=RUNX1_HUMAN,https://cansarblack.icr.ac.uk/target/Q01196/synopsis,,,,,,,,0,,0,-1.45,64,,,,,,,,,,
,P29353,SHC1,"SHC-transforming protein 1",,"SHC1_HUMAN, SHC1, SHC, SHCA","Cytoplasm, Mitochondrion matrix, Mitochondrion","P29353 SHC1_HUMAN SHC-transforming protein 1 P29353,B5BU19,D3DV78,O15290,Q5T180,Q5T183,Q5T184,Q5T185,Q5T186,Q8N4K5,Q96CL1 SHC-transforming protein 3, SHC-transforming protein A, Src homology 2 domain-containing-transforming protein C1 SHC, SHCA","cytosol, mitochondrial matrix, plasma membrane, shc-egfr complex",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=SHC1_HUMAN,https://cansarblack.icr.ac.uk/target/P29353/synopsis,,,,,,,,0,,0,-3,59,,,,,,,,,,
